word,timing,projector
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　空の様子を見ながら送ってください,"{""Cap"": 1, ""Aqr"": 1, ""Psc"": 1, ""Aur"": 1}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　+おうし,"{""Tau"": 1}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　+ふたご,"{""Gem"": 1}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　-やぎ,"{""Cap"": 0}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　-みずがめ+かに,"{""Aqr"": 0, ""Cnc"": 1}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　+しし,"{""Leo"": 1}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　-うお,"{""Psc"": 0}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　-おひつじ+おとめ,"{""Aur"": 0, ""Vir"": 1}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　-おうし+てんびん,"{""Tau"": 0, ""Lib"": 1}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　-ふたご+さそり,"{""Gem"": 0, ""Sco"": 1}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　-かに,"{""Cnc"": 0}"
「紐でつながれていたんだね」の後,できる範囲で「「全点灯」」　+いて　次は全消灯,"{""Sgr"": 1}"
「ありがとうございました」の後,「「全消灯」」,"{""Aqr""=0, ""Ari""=0, ""Cap""=0, ""Cnc""=0, ""Gem""=0, ""Leo""=0, ""Psc""=0, ""Sco""=0, ""Sgr""=0, ""Tau""=0, ""Vir""=0, ""Lib""=0}"
